Item Name,Item Category,Pack,Period,Quantity Used,PSU Semester
"PLATE 6"" RD COMPOST",Supply,1000 EA/CS,06/24/25-07/31/25,17,Summer Semester
"PLATE 9"" RD COMPOST",Supply,500 EA/CS,06/24/25-07/31/25,56,Summer Semester
"PLATE PAPER 9""",Supply,1200/CASE,06/24/25-07/31/25,0,Summer Semester
"PLATE PLSTC 6""SCROLLWARE",Supply,180/CS,06/24/25-07/31/25,12,Summer Semester
"PLATE PLSTC 9""SCROLLWARE",Supply,240 EA/CS,06/24/25-07/31/25,10,Summer Semester
POLO CAMPUS DINING METZ,Food,5XLARGE,06/24/25-07/31/25,0,Summer Semester
PORK BACON CANADIAN STYLE,Food,CATCH WEIGHT,06/24/25-07/31/25,213,Summer Semester
PORK BACON CRUMBLES FC,Food,2-5#/CS,06/24/25-07/31/25,13,Summer Semester
PORK BACON FC ROUND,Food,192 EA/BOX,06/24/25-07/31/25,45,Summer Semester
PORK BACON FC SLCD,Food,300 EA/CS,06/24/25-07/31/25,44,Summer Semester
PORK BACON HARDWOOD SMOKED 13-17CT,Food,CATCH WGT/#,06/24/25-07/31/25,435,Summer Semester
PORK BACON SLCD LAYOUT 18-22CT,Food,15 #/CASE,06/24/25-07/31/25,90,Summer Semester
PORK BUTT BNLS,Food,CATCH WGT/#,06/24/25-07/31/25,1788,Summer Semester
PORK BUTT GROUND FINE,Food,CATCH WGT/LB,06/24/25-07/31/25,108,Summer Semester
PORK DICED,Food,LB,06/24/25-07/31/25,140,Summer Semester
PORK FRITTER WHOLE MUSCLE,Food,40-4 OZ/CS,06/24/25-07/31/25,39,Summer Semester
PORK HAM SMKD BNLS CARVE,Food,CATCH WGT/#,06/24/25-07/31/25,0,Summer Semester
PORK LOIN BNLS MBG #414,Food,CATCH WGT/#,06/24/25-07/31/25,87,Summer Semester
PORK RIB SPARE ST LOUIS,Food,LB,06/24/25-07/31/25,301,Summer Semester
PORK SAUSAGE ANDOUILLE,Food,CATCH WGT/#,06/24/25-07/31/25,310,Summer Semester
PORK SAUSAGE CHORIZO LINK,Food,CATCH WGT/#,06/24/25-07/31/25,0,Summer Semester
PORK SAUSAGE CHORIZO LOOSE BULK,Food,CATCH WGT/#,06/24/25-07/31/25,40,Summer Semester
PORK SAUSAGE ITAL HOT ROPE,Food,CATCH WGT/#,06/24/25-07/31/25,0,Summer Semester
PORK SAUSAGE ITAL LOOSE,Food,CATCH WGT/#,06/24/25-07/31/25,127,Summer Semester
PORK SAUSAGE ITAL SWT ROPE,Food,CATCH WGT/#,06/24/25-07/31/25,360,Summer Semester
PORK SAUSAGE KIELBASA,Food,CATCH WGT/#,06/24/25-07/31/25,240,Summer Semester
PORK SAUSAGE PATTY FC 2OZ,Food,10 LB/CASE,06/24/25-07/31/25,120,Summer Semester
PORK SAUSAGE RAW 1OZ LINK,Food,CATCH WGT/#,06/24/25-07/31/25,244,Summer Semester
PORK SAUSAGE RAW 2OZ LINK,Food,10#/CS,06/24/25-07/31/25,19,Summer Semester
PORK SAUSAGE TOPPING,Food,10 #/CASE,06/24/25-07/31/25,2,Summer Semester
PRETZEL BITES,Food,500 EA/CS,06/24/25-07/31/25,2,Summer Semester
PRETZEL SOFT JUMBO 5.5OZ,Food,50 EA/CASE,06/24/25-07/31/25,2,Summer Semester
PRETZEL STK SOFT BAVARIAN,Food,72-2.4oz/CS,06/24/25-07/31/25,8,Summer Semester
