Item Name,Item Category,Pack,Period,Quantity Used,PSU Semester
# OATS ROLLED OLD FASHIONED GF,Food,25 LB/BAG,03/01/25-03/31/25,15,Spring Semester
# APRON CLOTH BLACK,Supply,72 EA/CS,03/01/25-03/31/25,0,Spring Semester
# APRON CLOTH WHITE,Supply,72 EA/CS,03/01/25-03/31/25,0,Spring Semester
# ATH BEEF CHEESE STK MEAT FC,Food,10 LB/CS,03/01/25-03/31/25,14,Spring Semester
# ATH BEV MIX HOT CHOC,Food,8-4.5#/CS,03/01/25-03/31/25,0,Spring Semester
# BAG LAUNDRY,Supply,50 EA/CS,03/01/25-03/31/25,0,Spring Semester
# BEEF BRISKET KOSHER,Food,CATCH WGT/#,03/01/25-03/31/25,126,Spring Semester
# BEEF GROUND FRESH 80/20,Food,FRZN WGT/#,03/01/25-03/31/25,2792,Spring Semester
# BEEF MOCK TENDER KOSHER,Food,CATCH WGT/#,03/01/25-03/31/25,562,Spring Semester
# BEEF PATTY FC 5OZ CONCESSION,Food,32-5OZ/CS,03/01/25-03/31/25,50,Spring Semester
# BEVI BLOOD ORANGE,Food,1 GAL,03/01/25-03/31/25,0,Spring Semester
# BEVI CUCUMBER,Food,1 GAL,03/01/25-03/31/25,0,Spring Semester
# BEVI LEMON,Food,1 GAL,03/01/25-03/31/25,0,Spring Semester
# BEVI LIME MINT,Food,1 GAL,03/01/25-03/31/25,0,Spring Semester
# BEVI PEACH MANGO,Food,1 GAL,03/01/25-03/31/25,0,Spring Semester
# BEVI POMEGRANATE BLUEBERRY,Food,1 GAL,03/01/25-03/31/25,0,Spring Semester
# BEVI RASPBERRY,Food,1 GAL,03/01/25-03/31/25,0,Spring Semester
# BEVI STRAWBERRY LEMONGRASS,Food,1 GAL,03/01/25-03/31/25,0,Spring Semester
# BJC BOX CHICKEN TENDER WHITE,Food,300 EA/CS,03/01/25-03/31/25,0,Spring Semester
# BJC BOX FRYBASKET WHITE,Food,450 EA/CS,03/01/25-03/31/25,0,Spring Semester
# BJC CARRY OUT TRAYS,Food,400/CASE,03/01/25-03/31/25,0,Spring Semester
# BJC CLAMSHELL BURGER WHITE,Food,500 EA/CS,03/01/25-03/31/25,0,Spring Semester
# BJC CLAMSHELL HOTDOG WHITE,Food,500 EA/CS,03/01/25-03/31/25,0,Spring Semester
# BJC HOT DOG BEEF 6/#,Food,CATCH WGT/#,03/01/25-03/31/25,540,Spring Semester
# BJC HOT DOG BEEF 8/#,Food,CATCH WGT/#,03/01/25-03/31/25,0,Spring Semester
"# BJC LID DOME FOR 12"" SQ PLATTER",Food,25 EA/CS,03/01/25-03/31/25,0,Spring Semester
"# BJC LID DOME FOR 16"" SQ PLATTER",Food,25 EA/CS,03/01/25-03/31/25,0,Spring Semester
# BJC LID DOME FOR 9X22 PLATTER,Food,25 EA/CS,03/01/25-03/31/25,0,Spring Semester
# BJC OIL POPCORN,Food,4-1 GAL/CS,03/01/25-03/31/25,0,Spring Semester
"# BJC PLATTER WHITE 12"" SQ",Food,25 EA/CS,03/01/25-03/31/25,0,Spring Semester
"# BJC PLATTER WHITE 16"" SQ",Food,25 EA/CS,03/01/25-03/31/25,0,Spring Semester
# BJC PLATTER WHITE 9X22 REC,Food,25 EA/CS,03/01/25-03/31/25,0,Spring Semester
# BJC POPCORN RAW BULK,Food,50#/BAG,03/01/25-03/31/25,8,Spring Semester
# BJC PORK PULLED BBQ,Food,10#/CS,03/01/25-03/31/25,43,Spring Semester
# BJC PORK SAUSAGE ITAL SWEET LINK,Food,CATCH WGT/#,03/01/25-03/31/25,12,Spring Semester
# BJC SAUSAGE BRATWURST FC,Food,CATCH WGT/#,03/01/25-03/31/25,0,Spring Semester
"# BJC STRAW WRAPPED 10.25""",Supply,4-500/CS,03/01/25-03/31/25,5,Spring Semester
# BOBA CREAMER ND,Food,10-2.6 LB/CS,03/01/25-03/31/25,3,Spring Semester
# BOBA FILM CUP SEAL,Supply,ROLL,03/01/25-03/31/25,0,Spring Semester
# BOBA FLAV POWDER COCONUT FRUIT,Food,20-2.2 LB/CS,03/01/25-03/31/25,0,Spring Semester
# BOBA FLAV POWDER MANGO,Food,20-2.2 LB/CS,03/01/25-03/31/25,0,Spring Semester
# BOBA FLAV POWDER STRAWBERRY,Food,20-2.2 LB/CS,03/01/25-03/31/25,0,Spring Semester
# BOBA FLAV POWDER TARO,Food,20-2.2 LB/CS,03/01/25-03/31/25,1,Spring Semester
# BOBA FLAV POWDER THAI TEA,Food,20-2.2 LB/CS,03/01/25-03/31/25,1,Spring Semester
# BOBA JELLY COCONUT LYCHEE,Food,4-8.8 LB/CS,03/01/25-03/31/25,5,Spring Semester
# BOBA JUICE POPPERS KIWI,Food,4-7 LB/CS,03/01/25-03/31/25,0,Spring Semester
# BOBA JUICE POPPERS MANGO,Food,4-7 LB/CS,03/01/25-03/31/25,10,Spring Semester
# BOBA JUICE POPPERS STRAWBERRY,Food,4-7LB/CS,03/01/25-03/31/25,7,Spring Semester
# BOBA SYRUP BLACK SUGAR,Food,6-64 OZ/CS,03/01/25-03/31/25,4,Spring Semester
# BOBA SYRUP LYCHEE,Food,6-64 OZ/CS,03/01/25-03/31/25,1,Spring Semester
# BOBA SYRUP MANGO,Food,6-64 OZ/CS,03/01/25-03/31/25,1,Spring Semester
# BOBA SYRUP PEACH,Food,6-64 OZ/CS,03/01/25-03/31/25,2,Spring Semester
# BOBA SYRUP PURE CANE SUGAR,Food,4-1 GAL/CS,03/01/25-03/31/25,5,Spring Semester
# BOBA SYRUP STRAWBERRY,Food,6-64 OZ/CS,03/01/25-03/31/25,0,Spring Semester
# BOBA TAPIOCA BLACK PEARLS,Food,6-6.6 LB/CS,03/01/25-03/31/25,10,Spring Semester
# BOBA TEA BLACK,Food,20 BAG/CASE,03/01/25-03/31/25,1,Spring Semester
# BOBA TEA GREEN JASMINE,Food,10 BAG/CASE,03/01/25-03/31/25,2,Spring Semester
# BOWL W/LID MW 24 OZ,Food,150 SETS/CS,03/01/25-03/31/25,304,Spring Semester
# BOX 8X6X3 COMPOST KRAFT,Food,200 EA/CS,03/01/25-03/31/25,10,Spring Semester
# BRUSCHETTA ITALIAN TOMATO,Food,6-33.51 OZ/CS,03/01/25-03/31/25,0,Spring Semester
# BTRSTA BLACK TEA,Food,4-1 GAL BIB,03/01/25-03/31/25,0,Spring Semester
# BTRSTA CANE SUGAR,Food,4-1 GAL BIB,03/01/25-03/31/25,0,Spring Semester
# BTRSTA CITRUS BLEND,Food,4-1 GAL BIB,03/01/25-03/31/25,0,Spring Semester
# BTRSTA CLNR POWDER KAY5,Food,48 EA/CS,03/01/25-03/31/25,0,Spring Semester
# BTRSTA CLNR TABLET,Food,200 EA/CS,03/01/25-03/31/25,0,Spring Semester
# BTRSTA COCONUT,Food,4-1 GAL BIB,03/01/25-03/31/25,0,Spring Semester
# BTRSTA CREAMER ND ORG,Food,3-1 GAL BIB,03/01/25-03/31/25,0,Spring Semester
# BTRSTA CUP 16OZ,Supply,1000 EA/CS,03/01/25-03/31/25,0,Spring Semester
# BTRSTA DRAGONFRUIT,Food,4-1 GAL BIB,03/01/25-03/31/25,0,Spring Semester
# BTRSTA FILM,Food,EACH,03/01/25-03/31/25,0,Spring Semester
# BTRSTA FILTER CARTRIDGE,Food,EACH,03/01/25-03/31/25,0,Spring Semester
# BTRSTA LID CUP FLAT,Supply,1000 EA/CS,03/01/25-03/31/25,0,Spring Semester
# BTRSTA MANGO,Food,4-1 GAL BIB,03/01/25-03/31/25,0,Spring Semester
# BTRSTA PASSION FRUIT,Food,4-1 GAL BIB,03/01/25-03/31/25,0,Spring Semester
# BTRSTA PLASTIC CADDY,Food,EACH,03/01/25-03/31/25,0,Spring Semester
# BTRSTA SALTED CARAMEL,Food,4-1 GAL BIB,03/01/25-03/31/25,0,Spring Semester
# BTRSTA STRAWBERRY,Food,4-1 GAL BIB,03/01/25-03/31/25,0,Spring Semester
# BTRSTA TAPIOCA BROWN SUGAR,Food,20-1.1 LB/CS,03/01/25-03/31/25,0,Spring Semester
# BTRSTA THAI TEA,Food,4-1 GAL BIB,03/01/25-03/31/25,0,Spring Semester
# CHEEZ WHIZ SPREAD POUCH,Food,6-6.5#/CS,03/01/25-03/31/25,11,Spring Semester
# CHIX BONES KOSHER,Food,CATCH WGT/#,03/01/25-03/31/25,0,Spring Semester
# CHIX BRST BNLS SKNLS KOSHER,Food,CATCH WGT/#,03/01/25-03/31/25,0,Spring Semester
# CHIX TENDERS KOSHER,Food,20 LB/CS,03/01/25-03/31/25,0,Spring Semester
# CHIX THIGH BNLS SKNLS SPLIT KOSHER,Food,CATCH WGT/#,03/01/25-03/31/25,1046,Spring Semester
# CHO BREAD NAAN,Food,96 EA/CS,03/01/25-03/31/25,60,Spring Semester
# CHO CHAI TEA,Food,6-1/2 GAL,03/01/25-03/31/25,19,Spring Semester
# CHO CHEESE PANEER CUBES,Food,4-5 LB/CS,03/01/25-03/31/25,35,Spring Semester
# CHO CUP 12 OZ CLEAR PET,Supply,1000 EA/CS,03/01/25-03/31/25,3,Spring Semester
# CHO LABEL MANGO LASSI,Food,200 EA/ROLL,03/01/25-03/31/25,0,Spring Semester
# CHO LID 12-14 OZ CLEAR PET CUP,Supply,1000 EA/CS,03/01/25-03/31/25,3,Spring Semester
# CHO MANGO LASSI,Food,3-1 GAL/CS,03/01/25-03/31/25,52,Spring Semester
# CHO MANGO LEMONADE CONCENTRATE,Food,4-80 OZ/CS,03/01/25-03/31/25,16,Spring Semester
# CHO MARINADE CHIX SALMON PANEER,Food,6-1/2 GAL,03/01/25-03/31/25,87,Spring Semester
# CHO MINT GINGER LEMONADE CONC,Food,6-48 OZ/CS,03/01/25-03/31/25,4,Spring Semester
# CHO PC SAUCE HOT OMG,Food,1000 EA/CS,03/01/25-03/31/25,5,Spring Semester
# CHO PC SAUCE HOT OUCH,Food,1000 EA/CS,03/01/25-03/31/25,3,Spring Semester
# CHO PC SAUCE HOT WHOA,Food,1000 EA/CS,03/01/25-03/31/25,4,Spring Semester
# CHO SAMOSA,Food,4-5# BAG/CS,03/01/25-03/31/25,14,Spring Semester
# CHO SAUCE BULK HOT OMG,Food,6-.5 GAL.CS,03/01/25-03/31/25,0,Spring Semester
# CHO SAUCE BUTTER MASALA,Food,6-.5 GAL.CS,03/01/25-03/31/25,0,Spring Semester
# CHO SAUCE MINT YOGURT,Food,6-64 OZ/CS,03/01/25-03/31/25,5,Spring Semester
# CHO SAUCE SPICY MANGO,Food,6-64 OZ/CS,03/01/25-03/31/25,1,Spring Semester
# CHO SAUCE SWEET TANGO,Food,6-.5 GAL.CS,03/01/25-03/31/25,0,Spring Semester
# CHO SOUP BLACK LENTIL,Food,6-1/2 GAL,03/01/25-03/31/25,45,Spring Semester
# CHO SOUP CHICKPEA MASALA,Food,6-1/2 GAL,03/01/25-03/31/25,44,Spring Semester
# CHO SOUP TIKKA MASALA,Food,6-1/2 GAL,03/01/25-03/31/25,127,Spring Semester
# CHO SOUP YELLOW LENTIL,Food,6-1/2 GAL,03/01/25-03/31/25,24,Spring Semester
# CHO SPICE RANCH MIX,Food,40 EA/CS,03/01/25-03/31/25,0,Spring Semester
# CHO SPICE TOFU/VEG,Food,3.75#/CS,03/01/25-03/31/25,0,Spring Semester
# CHO SPICE WHIT RICE,Food,60-90G/CS,03/01/25-03/31/25,10,Spring Semester
# CHO VEG CROQUETTE,Food,4-5# BAG/CS,03/01/25-03/31/25,21,Spring Semester
# CITRIC ACID,Food,LB,03/01/25-03/31/25,0,Spring Semester
# CORNICHONS BAG,Supply,2-6.5#/CS,03/01/25-03/31/25,0,Spring Semester
# CORNSTARCH BULK,Food,50 LB/BAG,03/01/25-03/31/25,5,Spring Semester
# CRMRY BOWL 6 OZ WHITE SQUAT COMPOST,Food,1000 EA/CS,03/01/25-03/31/25,26,Spring Semester
# CRMRY CONE CAKE JACKETED,Food,8-132 EA/CS,03/01/25-03/31/25,12,Spring Semester
# CRMRY CUP 16OZ PRTD,Supply,1000 EA/CS,03/01/25-03/31/25,9,Spring Semester
# CRMRY CUP 20OZ PRTD,Supply,500 EA/CS,03/01/25-03/31/25,10,Spring Semester
# CRMRY LID FLAT FOR 16/20OZ FOAM CUP,Supply,1000 EA/CS,03/01/25-03/31/25,3,Spring Semester
# CRMRY LID HIGH DOME FOR 6 OZ BOWL,Food,500 EA/CS,03/01/25-03/31/25,1,Spring Semester
# CRMRY LID SIPTHRU FOR 16/20OZ CUP,Supply,1000 EA/CS,03/01/25-03/31/25,10,Spring Semester
# CRMRY MILK NONFAT POWDER,Food,50#/BAG,03/01/25-03/31/25,90,Spring Semester
# CUP 12OZ CLEAR COMPOST PLA,Supply,1000 EA/CS,03/01/25-03/31/25,1,Spring Semester
# CUP PAPER SQUAT 12 OZ,Supply,500 EA/CS,03/01/25-03/31/25,1,Spring Semester
# CUP PAPER SQUAT 16 OZ CUSTOM PRINT,Supply,500 EA/CS,03/01/25-03/31/25,0,Spring Semester
# DSSRT MINI BD BABY CAKES ASST,Food,144 EA/CS,03/01/25-03/31/25,0,Spring Semester
# EGG PATTY WHL,Food,160-1.5 OZ/CS,03/01/25-03/31/25,94,Spring Semester
# EGGROLL BEEF CHEESE STK 3.0OZ,Food,60 EA/CS,03/01/25-03/31/25,0,Spring Semester
# ENTRÉE PREP EGGPLANT RND KOSHER,Food,10# CASE,03/01/25-03/31/25,0,Spring Semester
# FISH COD BEER BATTER 2-3OZ,Food,10#/CS,03/01/25-03/31/25,2,Spring Semester
# GLOVE CLOTH TERRY,Supply,PAIR,03/01/25-03/31/25,0,Spring Semester
# GUACAMOLE KOSHER,Food,12-1#/CS,03/01/25-03/31/25,0,Spring Semester
# HOT DOG BEEF 8/# KOSHER,Food,CATCH WGT/#,03/01/25-03/31/25,0,Spring Semester
# HOT PAD CLOTH,Supply,12 EA/CS,03/01/25-03/31/25,0,Spring Semester
# HUB APP POTSTICKER PORK,Food,6-30 EA/CS,03/01/25-03/31/25,12,Spring Semester
# HUB BOWL REC 30OZ COMPOST,Food,400 EA/CS,03/01/25-03/31/25,35,Spring Semester
# HUB BOWL REC 44 OZ COMPOST,Food,400 EA/CS,03/01/25-03/31/25,11,Spring Semester
# HUB LID DOME 32&48 OZ REC BOWL,Food,400 EA/CS,03/01/25-03/31/25,39,Spring Semester
# JIF PEANUT BUTTER SAUCE,Food,6-4.5#/CS,03/01/25-03/31/25,1,Spring Semester
"# LANYARD 36"" CONFERENCE ONLY",Food,EACH,03/01/25-03/31/25,0,Spring Semester
# LID CUP SQUAT 12 & 16 OZ,Supply,500 EA/CS,03/01/25-03/31/25,2,Spring Semester
# LINEN NAPKIN BLACK,Food,300 EA/CS,03/01/25-03/31/25,0,Spring Semester
# LINEN NAPKIN NAVY,Food,300 EA/CS,03/01/25-03/31/25,0,Spring Semester
# LINEN NAPKIN WHIT,Food,300 EA/CS,03/01/25-03/31/25,0,Spring Semester
"# LINEN TABLE 100"" X 100"" NAVY",Food,12 EA/CS,03/01/25-03/31/25,1,Spring Semester
"# LINEN TABLE 120"" ROUND NAVY",Food,12 EA/CS,03/01/25-03/31/25,0,Spring Semester
"# LINEN TABLE 120"" ROUND WHIT",Food,12 EA/CS,03/01/25-03/31/25,0,Spring Semester
# LINEN TABLE 52X52 WHT,Food,12 EA/CS,03/01/25-03/31/25,0,Spring Semester
"# LINEN TABLE 54"" X 114"" WHIT",Food,36 EA/CS,03/01/25-03/31/25,0,Spring Semester
"# LINEN TABLE 90"" X 132"" BLACK",Food,12 EA/CS,03/01/25-03/31/25,0,Spring Semester
# LINEN TABLE 90X132 NAVY,Food,12 EA/CS,03/01/25-03/31/25,1,Spring Semester
# LINEN TABLE 90X132 WHITE,Food,12 EA/CS,03/01/25-03/31/25,0,Spring Semester
# MATZO BALL PRE MADE KOSHER,Food,180-3 OZ/CS,03/01/25-03/31/25,0,Spring Semester
# PASTRAMI KOSHER,Food,CATCH WGT/#,03/01/25-03/31/25,0,Spring Semester
# PASTRY MINI BD MIGNON ASST,Food,50 EA/CS,03/01/25-03/31/25,0,Spring Semester
# PC APPLESAUCE KOSHER,Food,72 EA/CS,03/01/25-03/31/25,0,Spring Semester
# PEPPER SWEET AND TANGY DROP,Food,2-6.5#/CS,03/01/25-03/31/25,0,Spring Semester
# PEPPERAZZI GARLIC/HERB STUFFED,Food,2-5#/CS,03/01/25-03/31/25,0,Spring Semester
# PEPPERS BANANA RING HOT KOSHER,Food,4-GAL/CS,03/01/25-03/31/25,0,Spring Semester
"# PIZZA 16"" CHEESE",Food,9 EA/CS,03/01/25-03/31/25,8,Spring Semester
"# PLATE 6"" SQ BL PLSTC",Supply,120 EA/CS,03/01/25-03/31/25,6,Spring Semester
"# PLATE 8"" SQ BL PLSTC",Supply,120 EA/CS,03/01/25-03/31/25,0,Spring Semester
# POTATO PANCAKE LATKE PARVE KOSHER,Food,288 EA/CS,03/01/25-03/31/25,0,Spring Semester
# ROAST TURKEY KOSHER,Food,CATCH WGT/#,03/01/25-03/31/25,0,Spring Semester
"# ROLL AMOROSO 7""",Food,60EA/CS,03/01/25-03/31/25,51,Spring Semester
"# ROLL AMOROSO ESL 12""",Food,48 EA/CS,03/01/25-03/31/25,0,Spring Semester
# ROLL CHALLAH PARVE KOSHER,Food,90 EA/CS,03/01/25-03/31/25,0,Spring Semester
# ROLL SUB WHET FULLY SLCD THW & SRV,Food,48 EA/CS,03/01/25-03/31/25,21,Spring Semester
# ROLL SUB WHIT FULLY SLCD THW & SRV,Food,48 EA/CS,03/01/25-03/31/25,221,Spring Semester
# RUGELACH CHOCOLATE KOSHER,Food,160 EA/CS,03/01/25-03/31/25,0,Spring Semester
# SAMBAZON ACAI BERRY SCOOPABLE,Food,3 GAL TUB,03/01/25-03/31/25,13,Spring Semester
# SAMBAZON DRAGONFRUIT SCOOPABLE,Food,3 GAL TUB,03/01/25-03/31/25,33,Spring Semester
# SMUCKER'S GRAPE FRUIT SPREAD,Food,4-10.5#/CS,03/01/25-03/31/25,0,Spring Semester
# SMUCKER'S STRAWBERRY FRUIT SPREAD,Food,4-10.5#/CS,03/01/25-03/31/25,0,Spring Semester
# SOUP BASE VEGETABLE KOSHER,Food,12-1#/CS,03/01/25-03/31/25,0,Spring Semester
# TIN 3.75 X 3.75 CUSTOM EMOJI,Food,EACH,03/01/25-03/31/25,240,Spring Semester
# TIN 3.75 X 3.75 CUSTOM MURAL,Food,EACH,03/01/25-03/31/25,120,Spring Semester
# TIN 3.75X3.75 CUSTOM MASCOT,Food,EACH,03/01/25-03/31/25,120,Spring Semester
"# TIN 8.125""X3"" CUSTOM EMOJI",Food,EACH,03/01/25-03/31/25,0,Spring Semester
"# TIN 8.125""X3"" CUSTOM MASCOT",Food,EACH,03/01/25-03/31/25,0,Spring Semester
"# TIN 8.125""X3"" CUSTOM MURAL",Food,EACH,03/01/25-03/31/25,0,Spring Semester
# TOWEL MICROFIBER QUAT SANITIZING,Supply,200 EA/CS,03/01/25-03/31/25,2,Spring Semester
# TOWEL MICROFIBER YELLOW,Supply,200 EA/CS,03/01/25-03/31/25,1,Spring Semester
# TOWEL TERRY WHIT BLUE,Supply,600 EA/BALE,03/01/25-03/31/25,1,Spring Semester
# TURKEY BACON KOSHER,Food,CATCH WGT/#,03/01/25-03/31/25,0,Spring Semester
# TURKEY BRST WHOLE BONE IN KOSHER,Food,CATCH WGT/#,03/01/25-03/31/25,46,Spring Semester
# TURKEY GROUND KOSHER,Food,CATCH WGT/#,03/01/25-03/31/25,0,Spring Semester
# VEG SAUERKRAUT KOSHER,Food,6/#10 CAN,03/01/25-03/31/25,0,Spring Semester
# VEGAN HOT DOG KOSHER,Food,10#/CS,03/01/25-03/31/25,0,Spring Semester
$$ 5HR GRAPE XS,Food,* 18-12 PK/CS,03/01/25-03/31/25,0,Spring Semester
$$ 5HR POMEGRANATE,Food,*18-12 PK/CS,03/01/25-03/31/25,0,Spring Semester
$$ 5HR TROPICAL BURST XS,Food,* 18-12 PK/CS,03/01/25-03/31/25,0,Spring Semester
$$ 88 ACRES CINNAMON MAPLE GRANOLA,Food,6 EA/CS,03/01/25-03/31/25,5,Spring Semester
$$ 88 ACRES DK CHOC SEA SALT & OAT,Food,* 6 BX/CS,03/01/25-03/31/25,4,Spring Semester
$$ 88 ACRES DK CHOC SEA SALT GRANOLA,Food,6 EA/CS,03/01/25-03/31/25,16,Spring Semester
$$ 88 ACRES PRO BAR BANANA BREAD,Food,* 6 BX/CS,03/01/25-03/31/25,3,Spring Semester
$$ ALMOND MILK DRK CHOC,Food,12-10 OZ/CS,03/01/25-03/31/25,10,Spring Semester
$$ ALMOND MILK ORIG 32OZ,Food,6-32 OZ/CS,03/01/25-03/31/25,40,Spring Semester
$$ ALMOND MILK VANILLA 32OZ,Food,6-32 OZ/CS,03/01/25-03/31/25,38,Spring Semester
$$ ALMOND MILK VANILLA UNSWEETENED,Food,12-10 OZ/CS,03/01/25-03/31/25,13,Spring Semester
$$ ASSIX MACARON ASST,Food,10 EA/CS,03/01/25-03/31/25,2,Spring Semester
$$ ATH BAR PROBAR BASE MINT CHOC,Food,12 BARS/BOX,03/01/25-03/31/25,3,Spring Semester
$$ ATH BAR PROBAR BASE PB CHOC,Food,12 BARS/BOX,03/01/25-03/31/25,16,Spring Semester
$$ ATH BAR RXBAR AM CHOCOLATE,Food,* 6 BX/CS,03/01/25-03/31/25,0,Spring Semester
$$ ATH FRESH BLENDS ORG BANANA,Food,7.57 LTR/CS,03/01/25-03/31/25,0,Spring Semester
$$ ATH FRESH BLENDS ORG EARTH BERRY,Food,7.57 LTR/CS,03/01/25-03/31/25,0,Spring Semester
$$ ATH FRESH BLENDS ORG GREEN GODDESS,Food,7.57 LTR/CS,03/01/25-03/31/25,0,Spring Semester
$$ ATH FRESH BLENDS ORG LEMON,Food,7.57 LTR/CS,03/01/25-03/31/25,0,Spring Semester
$$ ATH FRESH BLENDS ORG MANGO,Food,7.57 LTR/CS,03/01/25-03/31/25,0,Spring Semester
$$ ATH FRESH BLENDS ORG ORANGE GING,Food,7.57 LTR/CS,03/01/25-03/31/25,0,Spring Semester
$$ ATH FRESH BLENDS ORG STRAWBERRY,Food,7.57 LTR/CS,03/01/25-03/31/25,2,Spring Semester
$$ ATH FRESH BLENDS ORG VAN OAT MILK,Food,7.57 LTR/CS,03/01/25-03/31/25,2,Spring Semester
$$ ATH JUSTINS ALMOND BUTTER CINNAMON,Food,* 6 BX/CS,03/01/25-03/31/25,2,Spring Semester
$$ ATH JUSTINS ALMOND BUTTER CLASSIC,Food,* 6 BX/CS,03/01/25-03/31/25,2,Spring Semester
$$ ATH JUSTINS ALMOND BUTTER MAPLE,Food,* 6 BX/CS,03/01/25-03/31/25,2,Spring Semester
$$ ATH JUSTINS PEANUT BUTTER CLASSIC,Food,* 6 BX/CS,03/01/25-03/31/25,2,Spring Semester
$$ ATH JUSTINS PEANUT BUTTER HONEY,Food,* 6 BX/CS,03/01/25-03/31/25,2,Spring Semester
$$ ATH KC BLUEBERRY MAPLE FLAPJACK,Food,12 CUPS/CS,03/01/25-03/31/25,14,Spring Semester
$$ ATH KC BUTTERMILK MAPLE FLAPJACK CUP,Supply,12 CUPS/CS,03/01/25-03/31/25,19,Spring Semester
$$ ATH MUSH APPLE CINNAMON,Food,8 EA/CS,03/01/25-03/31/25,15,Spring Semester
$$ ATH MUSH DARK CHOCOLATE,Food,8 EA/CS,03/01/25-03/31/25,19,Spring Semester
$$ ATH MUSH PEANUT BUTTER,Food,8 EA/CS,03/01/25-03/31/25,20,Spring Semester
$$ ATH MUSH VANILLA BEAN,Food,8 EA/CS,03/01/25-03/31/25,15,Spring Semester
$$ ATH MUSH WILD BLUEBERRY,Food,8 EA/CS,03/01/25-03/31/25,7,Spring Semester
$$ ATH SK TUNA CREATION BACON RANCH,Food,24 EA/CS,03/01/25-03/31/25,1,Spring Semester
$$ ATH SK TUNA CREATION BOLD SRIRACH,Food,24 EA/CS,03/01/25-03/31/25,1,Spring Semester
$$ ATH SK TUNA CREATION HERB GARLIC,Food,24 EA/CS,03/01/25-03/31/25,1,Spring Semester
$$ ATH SK TUNA CREATION HONEY BBQ,Food,24 EA/CS,03/01/25-03/31/25,1,Spring Semester
$$ ATH SK TUNA CREATION HOT BUFFALO,Food,24 EA/CS,03/01/25-03/31/25,4,Spring Semester
$$ ATH SK TUNA CREATION LEMON PEPPER,Food,24 EA/CS,03/01/25-03/31/25,1,Spring Semester
$$ ATH SK TUNA CREATION RANCH,Food,24 EA/CS,03/01/25-03/31/25,2,Spring Semester
$$ ATH SK TUNA CREATION SWEET SPICY,Food,24 EA/CS,03/01/25-03/31/25,4,Spring Semester
$$ BAR DP NUTRIGRAIN APPLE CINNAMON,Food,3 BX/CS,03/01/25-03/31/25,9,Spring Semester
$$ BAR DP NUTRIGRAIN BLUEBERRY,Food,3 BX/CS,03/01/25-03/31/25,9,Spring Semester
$$ BAR DP NUTRIGRAIN STRAWBERRY,Food,3 BX/CS,03/01/25-03/31/25,11,Spring Semester
$$ BAR GP NUTRIGRAIN APPLE CINNAMON,Food,12 BX/CS,03/01/25-03/31/25,6,Spring Semester
$$ BAR GP NUTRIGRAIN STRAWBERRY,Food,12 BX/CS,03/01/25-03/31/25,6,Spring Semester
$$ BAR PERFECT DK CHOC CHIP PB,Food,16 EA/CS,03/01/25-03/31/25,12,Spring Semester
$$ BAR PERFECT PEANUT BUTTER,Food,16 EA/CS,03/01/25-03/31/25,11,Spring Semester
$$ BAR PROBAR BASE COOKIE DOUGH,Food,12 BARS/BOX,03/01/25-03/31/25,25,Spring Semester
$$ BAR RXBAR AM HONEY CINN PB,Food,* 6 BX/CS,03/01/25-03/31/25,3,Spring Semester
$$ BAR RXBAR BLUEBERRY 1.83OZ,Food,* 6 BOX/CS,03/01/25-03/31/25,4,Spring Semester
$$ BAR RXBAR PNUT BUTTER CHOC 1.83OZ,Food,* 6 BOX/CS,03/01/25-03/31/25,7,Spring Semester
$$ BARE CINNAMON APPLE,Food,6 EA/CS,03/01/25-03/31/25,10,Spring Semester
$$ BARE FUJI & REDS APPLE 1.4OZ,Food,6 EA/CS,03/01/25-03/31/25,16,Spring Semester
$$ BEV CHOB PROTEIN COOKIES N CRÈME,Food,8 EA/CS,03/01/25-03/31/25,35,Spring Semester
$$ BEV CHOB PROTEIN MIXED BERRY,Food,8 EA/CS,03/01/25-03/31/25,165,Spring Semester
$$ BEV CHOB PROTEIN STRAWB CREAM,Food,8 EA/CS,03/01/25-03/31/25,45,Spring Semester
$$ BEV CHOB YOG MIX'T BERRIES 7OZ,Food,8-7 OZ/CS,03/01/25-03/31/25,87,Spring Semester
$$ BEV CHOB YOG PEACH 7OZ,Food,8-7 OZ/CS,03/01/25-03/31/25,79,Spring Semester
$$ BEV CHOB YOG STRAW'NANA 7OZ,Food,8-7 OZ/CS,03/01/25-03/31/25,114,Spring Semester
$$ BINGGRAE MILK BANANA,Food,24 EA/CS,03/01/25-03/31/25,24,Spring Semester
$$ BINGGRAE SAMANCO CHOC 4PK,Food,6-4 PK/CS,03/01/25-03/31/25,0,Spring Semester
$$ BISCOTTI CINNAMON ALMOND,Food,4 EA/CS,03/01/25-03/31/25,0,Spring Semester
$$ BISCOTTI VANILLA ALMOND,Food,12 EA/CS,03/01/25-03/31/25,0,Spring Semester
$$ BKY CS BROOKIE,Food,40 EA/CS,03/01/25-03/31/25,49,Spring Semester
$$ BKY CS COOKIE CCHIP 3.125,Food,36 EA/CS,03/01/25-03/31/25,122,Spring Semester
$$ BKY CS ICED BROWN,Food,40 EA/CS,03/01/25-03/31/25,32,Spring Semester
$$ BOLT PROBAR RASPBERRY W/CAFFEINE,Food,12 PKGS/SLV,03/01/25-03/31/25,9,Spring Semester
