Item Name,PSU Semester,Quantity Used
"# BJC LID DOME FOR 16"" SQ PLATTER",Summer Semester,1.6666666666666667
"# BJC LID DOME FOR 16"" SQ PLATTER",Winter Break,0.0
# BJC LID DOME FOR 9X22 PLATTER,Fall Semester,1.6666666666666667
# BJC LID DOME FOR 9X22 PLATTER,Spring Semester,0.0
# BJC LID DOME FOR 9X22 PLATTER,Summer Semester,0.0
# BJC LID DOME FOR 9X22 PLATTER,Winter Break,0.0
# BJC OIL POPCORN,Fall Semester,0.3333333333333333
# BJC OIL POPCORN,Spring Semester,3.75
# BJC OIL POPCORN,Summer Semester,0.0
# BJC OIL POPCORN,Winter Break,1.0
"# BJC PLATTER WHITE 12"" SQ",Fall Semester,2.0
"# BJC PLATTER WHITE 12"" SQ",Spring Semester,0.25
"# BJC PLATTER WHITE 12"" SQ",Summer Semester,0.3333333333333333
"# BJC PLATTER WHITE 12"" SQ",Winter Break,0.0
"# BJC PLATTER WHITE 16"" SQ",Fall Semester,1.3333333333333333
"# BJC PLATTER WHITE 16"" SQ",Spring Semester,0.0
"# BJC PLATTER WHITE 16"" SQ",Summer Semester,1.6666666666666667
"# BJC PLATTER WHITE 16"" SQ",Winter Break,0.0
# BJC PLATTER WHITE 9X22 REC,Fall Semester,1.6666666666666667
# BJC PLATTER WHITE 9X22 REC,Spring Semester,0.0
# BJC PLATTER WHITE 9X22 REC,Summer Semester,0.0
# BJC PLATTER WHITE 9X22 REC,Winter Break,0.0
# BJC POPCORN RAW BULK,Fall Semester,9.0
# BJC POPCORN RAW BULK,Spring Semester,11.0
# BJC POPCORN RAW BULK,Summer Semester,0.0
# BJC POPCORN RAW BULK,Winter Break,0.0
# BJC PORK PULLED BBQ,Fall Semester,37.333333333333336
# BJC PORK PULLED BBQ,Spring Semester,46.0
# BJC PORK PULLED BBQ,Summer Semester,40.333333333333336
# BJC PORK PULLED BBQ,Winter Break,35.5
# BJC PORK SAUSAGE ITAL SWEET LINK,Fall Semester,63.333333333333336
# BJC PORK SAUSAGE ITAL SWEET LINK,Spring Semester,53.5
# BJC PORK SAUSAGE ITAL SWEET LINK,Summer Semester,0.0
# BJC PORK SAUSAGE ITAL SWEET LINK,Winter Break,0.5
# BJC SAUSAGE BRATWURST FC,Fall Semester,0.0
# BJC SAUSAGE BRATWURST FC,Spring Semester,10.0
# BJC SAUSAGE BRATWURST FC,Summer Semester,0.0
# BJC SAUSAGE BRATWURST FC,Winter Break,0.0
# BOBA CREAMER ND,Fall Semester,3.0
# BOBA CREAMER ND,Spring Semester,2.5
# BOBA CREAMER ND,Summer Semester,1.3333333333333333
# BOBA CREAMER ND,Winter Break,2.0
# BOBA FLAV POWDER COCONUT FRUIT,Fall Semester,0.0
# BOBA FLAV POWDER COCONUT FRUIT,Spring Semester,0.25
# BOBA FLAV POWDER COCONUT FRUIT,Summer Semester,0.3333333333333333
# BOBA FLAV POWDER COCONUT FRUIT,Winter Break,0.5
# BOBA FLAV POWDER MANGO,Fall Semester,0.0
# BOBA FLAV POWDER MANGO,Spring Semester,0.25
# BOBA FLAV POWDER MANGO,Summer Semester,0.0
# BOBA FLAV POWDER MANGO,Winter Break,0.5
# BOBA FLAV POWDER STRAWBERRY,Fall Semester,0.3333333333333333
# BOBA FLAV POWDER STRAWBERRY,Spring Semester,0.25
# BOBA FLAV POWDER STRAWBERRY,Summer Semester,0.0
# BOBA FLAV POWDER STRAWBERRY,Winter Break,0.5
# BOBA FLAV POWDER TARO,Fall Semester,0.3333333333333333
# BOBA FLAV POWDER TARO,Spring Semester,0.25
# BOBA FLAV POWDER TARO,Summer Semester,0.3333333333333333
# BOBA FLAV POWDER TARO,Winter Break,0.0
# BOBA FLAV POWDER THAI TEA,Fall Semester,0.6666666666666666
# BOBA FLAV POWDER THAI TEA,Spring Semester,0.75
# BOBA FLAV POWDER THAI TEA,Summer Semester,0.0
# BOBA FLAV POWDER THAI TEA,Winter Break,1.0
# BOBA JELLY COCONUT LYCHEE,Fall Semester,3.0
# BOBA JELLY COCONUT LYCHEE,Spring Semester,3.5
# BOBA JELLY COCONUT LYCHEE,Summer Semester,1.3333333333333333
# BOBA JELLY COCONUT LYCHEE,Winter Break,0.0
# BOBA JUICE POPPERS KIWI,Fall Semester,2.3333333333333335
# BOBA JUICE POPPERS KIWI,Spring Semester,1.5
# BOBA JUICE POPPERS KIWI,Summer Semester,0.0
# BOBA JUICE POPPERS KIWI,Winter Break,0.0
# BOBA JUICE POPPERS MANGO,Fall Semester,5.0
# BOBA JUICE POPPERS MANGO,Spring Semester,4.75
# BOBA JUICE POPPERS MANGO,Summer Semester,1.3333333333333333
# BOBA JUICE POPPERS MANGO,Winter Break,1.0
# BOBA JUICE POPPERS STRAWBERRY,Fall Semester,6.333333333333333
# BOBA JUICE POPPERS STRAWBERRY,Spring Semester,7.0
# BOBA JUICE POPPERS STRAWBERRY,Summer Semester,1.3333333333333333
# BOBA JUICE POPPERS STRAWBERRY,Winter Break,1.0
# BOBA SYRUP BLACK SUGAR,Fall Semester,2.0
# BOBA SYRUP BLACK SUGAR,Spring Semester,3.25
# BOBA SYRUP BLACK SUGAR,Summer Semester,1.6666666666666667
# BOBA SYRUP BLACK SUGAR,Winter Break,1.5
# BOBA SYRUP LYCHEE,Fall Semester,3.0
# BOBA SYRUP LYCHEE,Spring Semester,0.5
# BOBA SYRUP LYCHEE,Summer Semester,0.0
# BOBA SYRUP LYCHEE,Winter Break,0.0
# BOBA SYRUP MANGO,Fall Semester,3.3333333333333335
# BOBA SYRUP MANGO,Spring Semester,1.25
# BOBA SYRUP MANGO,Summer Semester,1.0
# BOBA SYRUP MANGO,Winter Break,0.0
# BOBA SYRUP PEACH,Fall Semester,0.6666666666666666
# BOBA SYRUP PEACH,Spring Semester,2.5
# BOBA SYRUP PEACH,Summer Semester,0.0
# BOBA SYRUP PEACH,Winter Break,2.0
# BOBA SYRUP PURE CANE SUGAR,Fall Semester,2.6666666666666665
# BOBA SYRUP PURE CANE SUGAR,Spring Semester,4.5
# BOBA SYRUP PURE CANE SUGAR,Summer Semester,1.6666666666666667
# BOBA SYRUP PURE CANE SUGAR,Winter Break,3.0
# BOBA SYRUP STRAWBERRY,Fall Semester,6.333333333333333
# BOBA SYRUP STRAWBERRY,Spring Semester,3.5
# BOBA SYRUP STRAWBERRY,Summer Semester,0.0
# BOBA SYRUP STRAWBERRY,Winter Break,0.0
# BOBA TAPIOCA BLACK PEARLS,Fall Semester,7.0
# BOBA TAPIOCA BLACK PEARLS,Spring Semester,6.75
# BOBA TAPIOCA BLACK PEARLS,Summer Semester,1.0
# BOBA TAPIOCA BLACK PEARLS,Winter Break,4.5
# BOBA TEA BLACK,Fall Semester,0.6666666666666666
# BOBA TEA BLACK,Spring Semester,1.5
# BOBA TEA BLACK,Summer Semester,0.6666666666666666
# BOBA TEA BLACK,Winter Break,0.5
# BOBA TEA GREEN JASMINE,Fall Semester,2.0
# BOBA TEA GREEN JASMINE,Spring Semester,9.5
# BOBA TEA GREEN JASMINE,Summer Semester,2.0
# BOBA TEA GREEN JASMINE,Winter Break,0.0
# BOWL W/LID MW 24 OZ,Fall Semester,542.6666666666666
# BOWL W/LID MW 24 OZ,Spring Semester,369.5
# BOWL W/LID MW 24 OZ,Summer Semester,103.33333333333333
# BOWL W/LID MW 24 OZ,Winter Break,363.0
# BOX 8X6X3 COMPOST KRAFT,Fall Semester,11.333333333333334
# BOX 8X6X3 COMPOST KRAFT,Spring Semester,8.0
# BOX 8X6X3 COMPOST KRAFT,Summer Semester,4.333333333333333
# BOX 8X6X3 COMPOST KRAFT,Winter Break,6.5
# BRUSCHETTA ITALIAN TOMATO,Fall Semester,0.0
# BRUSCHETTA ITALIAN TOMATO,Spring Semester,0.5
# BRUSCHETTA ITALIAN TOMATO,Summer Semester,0.0
# BRUSCHETTA ITALIAN TOMATO,Winter Break,4.0
# BTRSTA BLACK TEA,Fall Semester,5.333333333333333
# BTRSTA BLACK TEA,Spring Semester,0.25
# BTRSTA BLACK TEA,Summer Semester,0.0
# BTRSTA BLACK TEA,Winter Break,6.5
# BTRSTA CANE SUGAR,Fall Semester,5.333333333333333
# BTRSTA CANE SUGAR,Spring Semester,0.25
# BTRSTA CANE SUGAR,Summer Semester,0.0
# BTRSTA CANE SUGAR,Winter Break,6.5
# BTRSTA CITRUS BLEND,Fall Semester,2.6666666666666665
# BTRSTA CITRUS BLEND,Spring Semester,0.0
# BTRSTA CITRUS BLEND,Summer Semester,0.0
# BTRSTA CITRUS BLEND,Winter Break,2.5
# BTRSTA CLNR POWDER KAY5,Fall Semester,0.0
