Product,Unit,Order Qty,Avg Monthly Usage,Stock on Hand,Priority,Seasonal Peak
Beef Striploin Bnls Mbg #180,CATCH WGT/#,263,275,14,B,False
Pc Cheese Crm 1Oz,100/CASE,258,105,3,B,False
Sauce Pasta,6-#10 CN/CS,256,222,7,B,False
Short Liq Frying,35#/CNTR,254,210,23,B,False
$$ Bev Chob Protein Cookies N Crème,8 EA/CS,252,54,11,B,False
Cookie Bky Raw Cs 2Oz Cchip,72 EA/CS,248,250,8,B,False
Fish Cod Loin 6Oz,10#/CS,244,169,3,B,False
Cheese Mozz,CATCH WGT/#,240,178,1,B,False
Cheese Monterey Jack,CATCH WGT/#,224,268,3,B,False
French Toast Sticks,10#-188EA/CS,224,186,4,B,False
Bakex Box Gift Ship Sm,EA,224,310,6,B,False
Shlfsh Shrimp Brd Popcorn,CATCH WGT/#,217,286,3,B,False
Beef Shrd Fc,2-5#/CS,213,130,6,B,False
Cap Navy Liveon,EACH,207,298,4,B,False
Roll Croissant Round 2.5Oz,80 EA/CS,203,163,2,B,False
Sauce Catsup Disp Pack Kosher,2-1.5GAL/CS,201,178,4,B,False
# Tin 3.75 X 3.75 Custom Mural,EACH,201,253,7,B,False
$$ Bev Chob Protein Strawb Cream,8 EA/CS,201,95,30,B,False
Cheese Pepper Jack Slcd,CATCH WGT/#,200,279,1,B,False
Beef Stk Skirt,CATCH WGT/#,199,176,8,B,True
Veg Fzn Pot F/F Trim,6-5#/CASE,197,184,5,B,False
Pasta Cavatappi/Cellentani,2-10#/CS,197,119,12,B,False
Sauce Pizza Gf,6/10 CN,196,162,5,B,False
Napkin Mornap 13X12 Nat,6000/CS,194,182,4,B,False
Veg Beans Black Kosher,6-#10CN/CS,193,113,4,B,False
Guacamole Fzn Mild,12-1#/CS,188,154,1,B,False
Dress Mayonnaise Gal,4-1GAL/CASE,187,150,2,B,False
# Egg Patty Whl,160-1.5 OZ/CS,186,102,2,B,False
$$ Ice 8# Bag,8# BAG,184,160,6,B,False
Box Kraft 7.75X5.5X3.5,90 EA/CS,184,127,2,B,False
# Hot Dog Beef 8/# Kosher,CATCH WGT/#,181,165,1,B,False
$$ Walking Taco Tostitos Salsa Verde,18 EA/CS,180,98,5,B,False
Liquor Beer Yuengling Can,12 OZ CAN,180,70,11,B,False
Pasta Penne,20#/BOX,178,165,10,B,False
"# Roll Amoroso 7""",60EA/CS,176,74,10,B,False
Cheese Pepper Jack,CATCH WGT/#,172,281,22,B,False
# Turkey Brst Whole Bone In Kosher,CATCH WGT/#,171,147,5,B,False
# Roast Turkey Kosher,CATCH WGT/#,170,162,9,B,False
Cheese Cheddar Colored,CATCH WGT/#,164,279,8,B,True
"Bakec Extender Bun Pan Full 3""",EACH,164,160,12,B,False
Gloves Vinyl Pf Xl Disposable,1000 EA/CS,163,153,6,B,False
# Chix Bones Kosher,CATCH WGT/#,162,155,9,B,False
Grain Rice Basmati,40#CASE,159,108,7,B,False
Granola Vanilla Bulk Af,25 LB/CS,159,79,7,B,False
Chix Sausage Brkfst,10#/CS,153,96,8,B,False
Beef Tenderloin Whl Mbg #189A,CATCH WGT/#,150,169,6,B,True
Veg Fzn Corn Whl Kernel Yellow,12-2.5 LB/CS,149,122,2,B,False
# Pastrami Kosher,CATCH WGT/#,149,145,11,B,False
Fish Cod/Haddock Beer Battered 2Oz,10#/CS,144,90,7,B,False
Pork Bacon Crumbles Fc,2-5#/CS,143,36,9,B,False
Stb Lemonade 48Oz,6 EA/CS,142,182,5,B,False
Egg Fresh,15 DZ/CRATE,141,127,6,B,False
Pork Fritter Whole Muscle,40-4 OZ/CS,139,93,8,B,False
Cheese Swiss Slcd,CATCH WGT/ #,138,143,3,B,False
Nori Sushi Toasted,10 SHT/PKG,138,132,8,B,False
$$ Bev Chob Protein Mixed Berry,8 EA/CS,137,87,9,B,False
Cheese Cheddar Smoked,CATCH WGT/#,136,88,6,B,False
Pork Sausage Raw 2Oz Link,10#/CS,135,36,7,B,False
Bagel Par Bkd Plain,48 CT,133,145,22,B,False
Cheese Gouda Smoked,CATCH WGT/#,133,61,3,B,False
Box Kraft 4.375X3.562X2.5,180 EA/CS,133,40,8,B,False
Beef Meatballs Fc 1Oz,10 #/CASE,132,159,4,B,False
Oil Veg Canola,6-1 GAL/CS,130,126,8,B,False
Flour Artisan,50#/BAG,130,129,7,B,False
Veg Fzn Pot F/F Tater Tots,6-5#/CASE,128,125,7,B,False
# Cho Marinade Chix Salmon Paneer,6-1/2 GAL,128,94,11,B,False
Croissant Slcd 2Oz,72-2.2 OZ/CS,126,106,1,B,False
Chix Chunk Tempura Brd,10 LB/CS,126,101,7,B,False
$$ E-Contraception,EACH,126,92,12,B,False
Bakea Grain Bulghur,LB,126,99,1,B,True
# Turkey Bacon Kosher,CATCH WGT/#,126,120,6,B,False
$$ Gogo Squeez Al Strawb Pine Orange,12 EA/CS,126,58,3,B,False
Stb Oatmilk Barista,8-64 OZ CS,125,138,12,B,False
Cheese Prov,CATCH WGT/#,124,158,6,B,False
# Tin 3.75 X 3.75 Custom Emoji,EACH,123,150,3,B,True
$$ Gogo Squeez Apple Cinn Pouch 3.2Oz,18 EA/CS,122,109,10,B,False
$$ Walking Taco Fritos Scoops,18-3.5 OZ/CS,121,58,12,B,False
Syrup Coffee Vanilla,*4-LTR/CS,119,135,14,B,False
Flatware Cutlerease Fork,960 EA/CS,118,145,27,B,False
$$ Gogo Squeez Applesauce 3.2Oz,18 EA/CS,118,100,4,B,False
Chix Brst Slcd Marinated,2-5 LB/CS,118,98,3,B,False
Pork Bacon Fc Slcd,300 EA/CS,116,99,10,B,False
# Cho Soup Tikka Masala,6-1/2 GAL,115,117,5,B,False
$$ Bev Chob Yog Straw'Nana 7Oz,8-7 OZ/CS,115,103,1,B,False
Bag Grocery Paper 10Lb,500/BDL,115,78,6,B,False
Shlfsh Shrimp Raw P&D16-20Ct,CATCH WGT/#,114,120,5,B,False
$$ Oh Snap Dilly Bites 3.25 Oz,6 EA/CS,113,115,23,B,False
Veg Fzn Pot F/F Seasoned Twist,6-4#/CASE,112,144,8,B,True
Bagel Par Bkd Everything,48 CT,111,102,4,B,False
Veg Tomato Diced In Juice Kosher,6/10 CN,110,70,11,B,False
Ecl Towel Disposable Blue,150 EA/BX,107,102,9,B,False
Shirt Tee Navy Large,EACH,105,168,11,B,False
Dough Pizza Ball 6 Oz,80 EA/CS,105,61,9,B,False
Stb Bev Base Strawberry Acai,6-1LTR/CS,104,183,9,B,True
# Cho Bread Naan,96 EA/CS,103,68,9,B,False
$$ Samyang Ramen Buldak,6 EA/CS,102,62,11,B,False
Shirt Polo Navy Large,EACH,102,94,2,B,False
Shirt Polo Navy Medium,EACH,102,101,10,B,False
$$ Nongshim Shin Ramen Black Cup,6 EA/CS,102,43,6,B,False
Tea Conc Teav Chai Nonswt,12-32 OZ/CS,100,113,30,B,False
Veg Fzn Onion Ring Nat Cut,4-2.5 LB/CS,100,62,9,B,False
Veg Peas Chick,6/10 CN,97,91,2,B,False
Gloves Vinyl Pf Lg Disposable,1000 EA/CS,96,103,9,B,False
Juice Fzn Express Orange,3-3 LITRE/CS,94,82,4,B,False
Veg Fzn Pot F/F Patty,120 EA/CS,94,75,3,B,False
$$ Yog Chob Vanilla,12 EA/CS,93,79,7,B,False
Dssrt Bd Profiterole Choux,50 EA/CS,93,48,5,B,False
Beef Corned Kosher,CATCH WGT/#,92,104,23,B,False
$$ Bky Cs Cookie Cchip 3.125,36 EA/CS,90,118,14,B,False
Veg Fzn Beans Green Whl,12-2#/CASE,90,79,6,B,False
Spice Taco Seasoning,5 LB/BOX,90,58,9,B,False
# Cho Mango Lassi,3-1 GAL/CS,90,71,11,B,False
Stb Coffee Cold Brew Concentrate,6-32 OZ/CS,89,94,8,B,False
Shirt Tee Navy Medium,EACH,88,205,3,B,False
Bakea Donut Fried Ring Rsd,90 EA/CS,88,79,1,B,True
Cheese Bleu Crumbled,CATCH WGT/#,88,57,9,B,False
Chix Stk Sandwich Bulk,10 #/CS,88,55,9,B,False
Veg Fzn Pot F/F Hash Brown Shrd,6-3#/CS,87,90,6,B,False
Biscuit Buttermilk Fzn,216 EA/CS,87,70,3,B,False
Tray Food 1# Paper Compost,1000/CASE,87,68,10,B,False
Turkey Sausage Patty Raw 2Oz,10#/CASE,86,77,12,B,False
Chix Brst Filet Brd Slider,30#/CS,86,73,8,B,False
Juice Fzn Express Apple,3-3 LITRE/CS,86,66,4,B,False
# Tin 3.75X3.75 Custom Mascot,EACH,85,256,1,B,False
Egg Whl Pld Cooked,200 EA/TUB,85,83,5,B,False
Oil Sesame,56 OZ/CAN,85,65,9,B,False
$$ Oh Snap Sassy Bites 3.25 Oz,6 EA/CS,85,37,12,B,False
Veg Tomato Crushed Conc,6/10 CN,85,31,3,B,False
$$ Yog Oikos Trip Zero Strawb 5.3Oz,12 EA/CS,83,75,11,B,True
Pickle Chips Dill Thin Kosher,4-1 GAL/CS,81,70,3,B,False
Grain Rice Jasmine,25#/BAG,80,133,20,B,False
$$ Yog Chob Strawb,12 EA/CS,80,75,11,B,False
$$ Bev Chob Yog Mix'T Berries 7Oz,8-7 OZ/CS,80,74,10,B,False
Sauce Ranch Disp Pack,2-1.5 GAL/CS,80,55,5,B,False
# Cho Sauce Butter Masala,6-.5 GAL.CS,79,76,5,B,False
Cheese Colby Longhorn,CATCH WGT/#,78,93,9,B,True
Sauce Catsup,3 GAL/CS,78,53,2,B,False
# Bjc Pork Pulled Bbq,10#/CS,77,41,11,B,False
$$ Oh Snap Hottie Bites 3.25 Oz,6 EA/CS,76,54,24,B,False
App Macaroni & Cheese Bites,6-3#/CASE,76,45,7,B,False
Clnr Ecl Solid Power Xl,4-9LB/CS,75,87,3,B,True
Oil Coating Pan Aerosol,6-16.5OZ/CS,75,80,7,B,False
Flour All Purpose,50 LB/BAG,75,69,2,B,False
Roll Hamburger Hawaiian,12-8PK/CS,74,61,2,B,False
Chix Wing Fc,30#/CS,73,66,2,B,False
$$ Bev Chob Yog Peach 7Oz,8-7 OZ/CS,72,63,4,B,False
Pasta Fzn Ravioli Cheese,300 EA/CS,72,62,6,B,False
Bag Grocery Paper 20Lb,500 EA/CS,71,80,2,B,False
Bagel Par Bkd Blueberry,48 CT,71,61,6,B,True
$$ Yog Chob Peach,12 EA/CS,70,60,7,B,False
Flatware Cutlerease Spoon,960 EA/CS,69,78,2,B,False
# Sambazon Acai Berry Scoopable,3 GAL TUB,69,66,4,B,False
$$ Meiji Hello Panda Chocolate 7Oz,6 EA/CS,69,62,1,B,False
App Potsticker Pork Steamed,120 EA/CS,69,71,3,B,True
Stb Sauce Chocolate Bittersweet,4-63OZ/CS,69,38,1,B,False
Cheese Mozz Fresh Slcd 1Oz No Brine,8-1#/CS,69,37,5,B,False
Bagel Plain Mini,72 EA/CS,68,61,6,B,False
Bagel Plain Slcd 3Oz,12-6/EA PKG,68,57,9,B,False
Nutella Piping Bag,6-35.2 OZ/CS,67,57,5,B,False
$$ Pregnancy Test 2 Pk,BOX,66,72,21,B,False
Box Hinged 3Cmp 9X9X3 Compost,200 EA/CS,65,107,5,B,True
Egg Fzn Whits,6-5#/CS,65,59,7,B,False
Liquor Beer Guinness Can,14.9 OZ CAN,64,60,9,B,True
Crm Whipping Lt Aerosol,12-15 OZ/CS,64,49,3,B,False
$$ Innovasian Potsticker Pork,6-7 OZ/CS,64,50,2,B,False
$$ Nongshim Shin Ramen Cup,6 EA/CS,64,45,1,B,False
Sauce Honey Mustard Disp Pack,2-1.5 GAL/CS,63,47,3,B,False
Clnr Alcohol Swab,200EA/BX,62,67,8,B,False
$$ Yog Chob Flip Cookies & Cream,12 EA/CS,62,42,1,B,False
Sauce Bbq Disp Pack,2-1.5GAL/CS,61,53,6,B,False
Bakea Croissant Raw Plain,60 EA/CS,60,95,5,B,False
Menu Card Holder 5 1/2 X 3 3/4,EACH,60,58,4,B,False
Pork Bacon Fc Round,192 EA/BOX,58,93,5,B,False
"Plate 9"" Rd Compost",500 EA/CS,58,75,1,B,False
Chix Whit/Dark Diced Fc,10 LB/CASE,58,57,10,B,False
Stb Coffee Wb Espresso 5Lb,4-5 LB/CS,58,50,7,B,False
# Bjc Pork Sausage Ital Sweet Link,CATCH WGT/#,58,58,6,B,False
Cheese Asiago Wheel,CATCH WGT/#,56,62,12,B,False
# Crmry Milk Nonfat Powder,50#/BAG,54,114,11,B,False
